AuthorID,Author,Date,Content,Attachments,Reactions
"709289083867758625","alt9800","2026-05-02T21:51:36.4930000+09:00","今日はひさびさに柳川市のマッピングしてます！
(久しぶりに自宅にいられるぜ...!!)","","👍 (3),🏠 (1)"
"282346512065888266","gray27","2026-05-02T21:55:14.5950000+09:00","描きました","https://cdn.discordapp.com/attachments/1280905549227102210/1500118472082980984/image.png?ex=6a309ef2&is=6a2f4d72&hm=f389ebdd6d79313a661f92ed503ac91d646cb45523c13265125a54ac6113913f&","👍 (3)"
"282346512065888266","gray27","2026-05-02T22:00:56.4500000+09:00","時間帯は昼間ですが、今日は現地サーベイもしました。8年くらい前のテナント情報or未プロットでした。人の多さから早々に退却したので、また時機改めて行かなきゃな、という感じです","https://cdn.discordapp.com/attachments/1280905549227102210/1500119905054363769/image.png?ex=6a30a048&is=6a2f4ec8&hm=19aabb937b68a4410794509e9f1829f5c12d733423bbc07d8ba6866ae154f650&","🚄 (2)"
"824917397827354634","tom_konda","2026-05-02T22:13:10.1060000+09:00","こんばんは、本日は引き続き相模大塚駅北西エリアを進めていこうと思います。","","👍 (2)"
"1409094497165512785","qing_06282","2026-05-02T22:16:06.0180000+09:00","鹿児島県奄美市
マンネリしてきたので他所様のところをマッピング
(行ったことないけど...)","https://cdn.discordapp.com/attachments/1280905549227102210/1500123720625422406/2-5-2026_221252_k-sakanoshita.github.io.jpeg?ex=6a30a3d5&is=6a2f5255&hm=da016f87c36b80fa498b2e6b7f27da8e0a4f0738ee0b4be296c4b3fb23e31ee4&","👍 (4)"
"739988936092418122","k.sakanoshita","2026-05-02T22:21:45.3970000+09:00","お疲れ様です！インドアマッピングいいですね。よろしくお願いします！","","smiling (1)"
"739988936092418122","k.sakanoshita","2026-05-02T22:22:13.5790000+09:00","あー。それは楽しそう。精密な3Dビルディングが量産されると良いですね！","","👍 (1)"
"739988936092418122","k.sakanoshita","2026-05-02T22:23:19.0910000+09:00","お疲れ様でした！田んぼのなかの集落って感じかな？","","🌾 (1)"
"739988936092418122","k.sakanoshita","2026-05-02T22:23:47.7580000+09:00","お疲れ様です。先ほどもお疲れ様でした！今週もよろしくね！","","👍 (1)"
"741627260875833415","ryoa8139","2026-05-02T22:23:52.5380000+09:00","たまには都内を。

＞(RapiD_Plateau)追加エリアの希望ですが、もしよろしければ、世田谷区・渋谷区・新宿区・中野区・豊島区を追加いただければと思います。
↑ホントにそう思う・・・（欲を言うと板橋区も）
（建物の数が半端ない＆不整形な建物が多い ）","https://cdn.discordapp.com/attachments/1280905549227102210/1500125677201129684/FireShot_Capture_021_-_overpass_turbo_-_overpass-turbo.eu.png?ex=6a30a5a8&is=6a2f5428&hm=3c845f553f7b1737d64b3ba45bea388bc81f03fcc70155629df878abdd336281&","👍 (3)"
"739988936092418122","k.sakanoshita","2026-05-02T22:24:58.3240000+09:00","お疲れ様でした！気分転換にいいと思います！（私もたまに全く知らない場所をマッピングするので分かります）","",""
"282346512065888266","gray27","2026-05-02T22:25:06.0600000+09:00","あと、高層物の影で見えないとか","","😅 (2)"
"739988936092418122","k.sakanoshita","2026-05-02T22:25:35.2290000+09:00","お疲れ様です！都内は意外とマッピングされていないですからね。よろしくお願いします！","",""
"837915872663437332","nmaruichi0129","2026-05-02T22:41:16.1690000+09:00","こんばんは、
本日は、久しぶりにスポーツ的な意味でサイクリングしました。
サイクルコンピュータの最大勾配が、14% でところがありました。
そのルートのなかに、私が以前に描いていた林道があるのですが、その林道は、Google Map にありません。
Street View では、林道入り口に柵がしてあったので現地確認しました。
確認前に調べたところ、災害復旧工事の対象となっている様だった(もともと「かなりやばい(危ない)多くの未舗装路を道路」でした)ので、現地確認しました。
やはり柵をされていました。(現地で工事が行われていることは、わからなかったので access=no と柵を描いておきます。)

また新しい橋が開通したので、先週現地確認に行きました。予算削減のため初期の構想から歩道が外されたのは知っていたですが、歩行者も自転車も通行禁止でしたので走れませんでした。
上記のアクセス制限は、タグ付けされていないので設定しておこうと思います。
ベタ踏み橋と評価される 6% 勾配のある橋の下り線です。

あと、最近に描いていた住宅団地の建物を追加が終わりそうなのでそちらにも取りかかりたいと思いますが、作業は間に合わない気がします。
そういえば、定例会でフォローしておくといったのだ遅れるかもしれません。","","👍 (5)"
"1253595232222707886","okadatsuneo","2026-05-02T22:42:48.6410000+09:00","こんばんは。田園調布の建物空白域を埋めてます。","https://cdn.discordapp.com/attachments/1280905549227102210/1500130442458693762/image.png?ex=6a30aa18&is=6a2f5898&hm=e32c103cf62cd029aca672bf09fb1a3ad7f75ef6a979197d6fad9aadb21f41bc&","👍 (6)"
"739988936092418122","k.sakanoshita","2026-05-02T22:47:10.8420000+09:00","お疲れ様でした！歩道がなくなった橋は残念ですね。うーん。お忙しい中、フォローありがとうｇざいます。余裕のある時で十分ですので！","",""
"739988936092418122","k.sakanoshita","2026-05-02T22:47:32.9380000+09:00","お疲れ様でした！田園調布にも空白ありましたかー。感謝！","",""
"311399254096871424","kzmi","2026-05-02T23:26:18.7080000+09:00","想定外に時間を使ってしまいましたが、図書館の内部が無事マッピングできました！
JOSM初利用でもあったのですが良い感じに使い慣れることができました 🍵 
https://openlevelup.net/?l=0#20/36.08612/140.10623
https://www.openstreetmap.org/changeset/182119397","https://cdn.discordapp.com/attachments/1280905549227102210/1500141390649102377/image.png?ex=6a30b44a&is=6a2f62ca&hm=1fbd477a49a7dd8b043366f25b8caf46692a9666173fbd1c56305613fab66605&,https://cdn.discordapp.com/attachments/1280905549227102210/1500141391089500281/image.png?ex=6a30b44a&is=6a2f62ca&hm=47660c03e93ece594e6ce25c7ce7e1cbaf37ad57e41946d4bb2c606bee3b169b&","👍 (5),❤️ (1)"
"1265612705079754807","hokkosha","2026-05-03T00:07:19.2650000+09:00","今日は沖縄アリーナというところに推し活にやってきました。
もう疲れたけど、会場周辺の敷地内通路とか最新になってなかったのでちょっとだけ修正。","https://cdn.discordapp.com/attachments/1280905549227102210/1500151709870194921/PXL_20260502_070812219.jpg?ex=6a30bde7&is=6a2f6c67&hm=ad481889ea637e135e9955b310b01706a21ee7a169bbad9ebde737d3f0554537&,https://cdn.discordapp.com/attachments/1280905549227102210/1500151710486761582/2026-05-03_00-04-54.png?ex=6a30bde7&is=6a2f6c67&hm=6334b2fb65cac7b6e7547fd12929d99db82ccbba0e5c2cc05c3ab16402249117&","👍 (3)"
"739988936092418122","k.sakanoshita","2026-05-03T00:08:09.3440000+09:00","お疲れ様でした！インドアアプリが充実していくと良いですね。","","❤️ (1)"
"739988936092418122","k.sakanoshita","2026-05-03T00:08:51.0510000+09:00","沖縄にきてましたか！そちらも併せてお疲れ様でした！","","👍 (1)"
"837915872663437332","nmaruichi0129","2026-05-03T00:14:51.2810000+09:00","住宅団地の建物を追加は、完了かと思います。この後は、現地調査して公園やその他描ける地物を修正したいと思います。
林道の名前で調べたときに事業費の書かれた「林道災害復旧事業」の資料を見たので直ったら、通れるようになるのか気になります。
橋の方は、予定していた通行禁止以外に 'bridge:name' キーを設定しただけです。","https://cdn.discordapp.com/attachments/1280905549227102210/1500153604995289158/image.png?ex=6a30bfaa&is=6a2f6e2a&hm=540390bd0c010c19060821c422a36cc5639d3b31949fe553955c0a2988381635&,https://cdn.discordapp.com/attachments/1280905549227102210/1500153605435687052/image.png?ex=6a30bfab&is=6a2f6e2b&hm=3c877199654f43feb44dd0406cd965df3b3518fddd78b30471fcdcfb269a1b8b&,https://cdn.discordapp.com/attachments/1280905549227102210/1500153606052253898/image.png?ex=6a30bfab&is=6a2f6e2b&hm=342a0b6571b536dc4e41a1207a8d068c3bc3380e1f733cac97dd6812d394d75d&","👍 (4)"
"824917397827354634","tom_konda","2026-05-03T00:25:54.8290000+09:00","今晩の成果です。
駅から近い区画は埋まってきた感じです。
引き続き、周辺を埋めていきたいです。
https://www.openstreetmap.org/changeset/182121899","https://cdn.discordapp.com/attachments/1280905549227102210/1500156389639716946/image.png?ex=6a30c242&is=6a2f70c2&hm=2f43c0a1da7443fcc9de8dffc6fc316f772f4e6ca8dcdf4818e98e2331e0435e&","👍 (4)"
"1265612705079754807","hokkosha","2026-05-03T00:42:32.5060000+09:00","沖縄アリーナのあるコザ運動公園、地理院シームレス画像には存在せずEsri画像には存在する敷地内通路と駐車場が多数ありましたが、今日現地行ってみてEsriが正しいのを確認したので、Esriトレースで少々修正。
もう眠いのでまた今度にします。
ライブは2日間なので、2日目ももうちょっと周辺見れるといいなと思いつつ、多分暑くてやらない気がします。","https://cdn.discordapp.com/attachments/1280905549227102210/1500160573332263003/2026-05-03_00-33-47.png?ex=6a30c628&is=6a2f74a8&hm=5c5e9edb51b2a982bb1e7554832be0491776d1c9fcfa078e439838d6067031a8&,https://cdn.discordapp.com/attachments/1280905549227102210/1500160573789176023/2026-05-03_00-38-20.png?ex=6a30c628&is=6a2f74a8&hm=bd30a2ac5e3c099c4d9ae9e4db8d0daf77e2e4aec01fa8dd60efb60e51ea4eb0&","👍 (5)"
"844251370411786272","wish.f","2026-05-03T01:33:43.0370000+09:00","本日の成果は
数年前に警察の管轄変更があったところの交番等に入ってる名称の修正（とその近辺の修正）
建物が三重にトレースされていた（！）造幣局広島支局の修正
あと建物が描かれてないところのトレースをやってました。

どうも、JOSMでデータをダウンロードせずにトレースされてたようで...笑","https://cdn.discordapp.com/attachments/1280905549227102210/1500173452596744192/image.png?ex=6a30d226&is=6a2f80a6&hm=94dc4f11521df1e457803d8c41b5d90b9fbd2545a3a67b1f6941132aa338b7af&","🪙 (5),🚓 (1)"
"282346512065888266","gray27","2026-05-03T06:01:18.0900000+09:00","おはようございﾏｯﾋﾟﾝ","https://cdn.discordapp.com/attachments/1280905549227102210/1500240792361369751/image.png?ex=6a3110de&is=6a2fbf5e&hm=618c83c1455a9f6f4a21f3e9d0cfd0a88db00d8fa91e97dc3406bd5ee05cd73a&","❤️ (3),👍 (4)"
